FEATURE_ID,LOWERCASE TOWNNAME,TOWNNAME,FEATURE_CLASS,COUNTY_NAME,COUNTY_NUMERIC,PRIM_LAT_DEC,PRIM_LONG_DEC,DATE_CREATED,DATE_EDITED
429980,Aaron,AARON,Populated Place,Switzerland,155,38.8831147,-85.125787,2/14/79,
429985,Aberdeen,ABERDEEN,Populated Place,Ohio,115,38.9053377,-84.9874511,2/14/79,5/12/14
2038158,Aberdeen,ABERDEEN,Populated Place,Porter,127,41.4389274,-87.1114196,10/1/82,1/12/11
2629862,Aberdeen Census Designated Place,ABERDEEN CENSUS DESIGNATED PLACE,Census,Porter,127,41.4417936,-87.1166183,8/30/10,4/25/13
429988,Abington,ABINGTON,Populated Place,Wayne,177,39.7331033,-84.9630172,2/14/79,
429991,Aboite,ABOITE,Populated Place,Allen,3,41.0008805,-85.3180293,2/14/79,
450618,Abydel,ABYDEL,Populated Place,Orange,117,38.5706099,-86.5611014,2/14/79,
446644,Academie,ACADEMIE,Populated Place,Allen,3,41.1708819,-85.1458048,10/1/82,
429998,Acme,ACME,Populated Place,Jackson,71,38.9781078,-86.0588715,2/14/79,
429999,Acton,ACTON,Populated Place,Marion,97,39.6556013,-85.9669266,2/14/79,3/7/07
430001,Adams,ADAMS,Populated Place,Decatur,31,39.3825496,-85.559973,2/14/79,5/12/14
430002,Adams,ADAMS,Populated Place,Morgan,109,39.4822701,-86.3555484,2/14/79,
450401,Adams County,ADAMS COUNTY,Civil,Adams,1,40.7456599,-84.9366547,2/14/79,1/8/13
430014,Adams Mill,ADAMS MILL,Populated Place,Carroll,15,40.4805914,-86.5088864,2/14/79,
449611,Adamsboro,ADAMSBORO,Populated Place,Cass,17,40.7844845,-86.2669413,2/14/79,12/12/05
430017,Ade,ADE,Populated Place,Newton,111,40.8683693,-87.4447497,2/14/79,
430020,Adel,ADEL,Populated Place,Owen,119,39.1919894,-86.7958389,2/14/79,5/10/14
430023,Advance,ADVANCE,Populated Place,Boone,11,39.9958763,-86.620004,2/14/79,3/20/08
430024,Adyeville,ADYEVILLE,Populated Place,Perry,123,38.1908898,-86.7694347,2/14/79,5/12/14
430025,Aetna,AETNA,Populated Place,Lake,89,41.5919809,-87.2894814,2/14/79,
430026,Africa,AFRICA,Populated Place,Spencer,147,37.8403271,-87.0727745,2/14/79,
430149,Ainsworth,AINSWORTH,Populated Place,Lake,89,41.4878149,-87.2586458,10/1/82,5/10/14
430034,Aix,AIX,Populated Place,Jasper,73,41.0414261,-87.1514139,2/14/79,
430038,Akron,AKRON,Populated Place,Fulton,49,41.0383766,-86.0280502,2/14/79,5/12/14
430039,Alamo,ALAMO,Populated Place,Montgomery,107,39.9819877,-87.0572313,2/14/79,3/20/08
430040,Alaska,ALASKA,Populated Place,Owen,119,39.4703246,-86.6413912,2/14/79,
430041,Albany,ALBANY,Populated Place,Delaware,35,40.3008764,-85.2419145,2/14/79,3/20/08
430043,Albion,ALBION,Populated Place,Scott,143,38.7436684,-85.7341334,2/14/79,
430044,Albion,ALBION,Populated Place,Noble,113,41.3956043,-85.4244241,2/14/79,3/20/08
430054,Aldine,ALDINE,Populated Place,Starke,149,41.2008742,-86.6744581,2/14/79,5/10/14
430058,Alert,ALERT,Populated Place,Decatur,31,39.16033,-85.6783093,2/14/79,
430066,Alexandria,ALEXANDRIA,Populated Place,Madison,95,40.2628184,-85.675809,2/14/79,3/20/08
430069,Alfont,ALFONT,Populated Place,Madison,95,39.9514295,-85.8147012,2/14/79,
430070,Alford,ALFORD,Populated Place,Pike,125,38.4914383,-87.2427898,2/14/79,
430072,Alfordsville,ALFORDSVILLE,Populated Place,Daviess,27,38.5606067,-86.9483354,2/14/79,5/10/14
430075,Algiers,ALGIERS,Populated Place,Pike,125,38.4872721,-87.1750093,2/14/79,
430076,Alida,ALIDA,Populated Place,LaPorte,91,41.5105967,-86.903082,2/14/79,
446643,Allen,ALLEN,Populated Place,Allen,3,41.2000484,-85.1958063,10/1/82,
450402,Allen County,ALLEN COUNTY,Civil,Allen,3,41.0908711,-85.0665628,2/14/79,1/8/13
430089,Allen Crossing,ALLEN CROSSING,Populated Place,Ripley,137,39.1039425,-85.3169058,2/14/79,
430096,Allendale,ALLENDALE,Populated Place,Vigo,167,39.3917047,-87.3958531,2/14/79,
452241,Allens Acres,ALLENS ACRES,Populated Place,Boone,11,39.9928176,-86.3030503,2/14/79,7/24/06
430098,Allensville,ALLENSVILLE,Populated Place,Switzerland,155,38.8731158,-85.020229,2/14/79,
430101,Alliance,ALLIANCE,Populated Place,Madison,95,40.0333763,-85.6499762,2/14/79,
430104,Allisonville,ALLISONVILLE,Populated Place,Marion,97,39.9050392,-86.078319,2/14/79,
430107,Allman,ALLMAN,Populated Place,Morgan,109,39.6172687,-86.4311062,2/14/79,
447125,Alma Lake,ALMA LAKE,Populated Place,Parke,121,39.6083767,-87.0194574,10/1/82,
2107801,Al-Mar,AL-MAR,Populated Place,Johnson,81,39.5447222,-86.205,2/26/07,
430115,Alpine,ALPINE,Populated Place,Fayette,41,39.5539375,-85.1757968,2/14/79,5/10/14
430116,Alquina,ALQUINA,Populated Place,Fayette,41,39.6128262,-85.0546845,2/14/79,
430118,Alta,ALTA,Populated Place,Vermillion,165,39.7722603,-87.3866837,2/14/79,
430119,Altamont Switch,ALTAMONT SWITCH,Populated Place,Tippecanoe,157,40.3786469,-86.8744529,2/14/79,
430122,Alto,ALTO,Populated Place,Howard,67,40.4400378,-86.1655485,2/14/79,
450627,Alton,ALTON,Populated Place,Crawford,25,38.122564,-86.4177559,2/14/79,3/20/08
430124,Altona,ALTONA,Populated Place,DeKalb,33,41.3514383,-85.1549719,2/14/79,3/20/08
430126,Alvarado,ALVARADO,Populated Place,Steuben,151,41.5767171,-84.8377368,2/14/79,
430128,Ambia,AMBIA,Populated Place,Benton,7,40.4900363,-87.5169642,2/14/79,5/10/14
430129,Ambler,AMBLER,Populated Place,LaPorte,91,41.7158744,-86.7966937,2/14/79,
430130,Amboy,AMBOY,Populated Place,Miami,103,40.6014291,-85.9288757,2/14/79,3/20/08
448390,America,AMERICA,Populated Place,Wabash,169,40.6792089,-85.7019246,10/1/82,
430134,Americus,AMERICUS,Populated Place,Tippecanoe,157,40.5258695,-86.7580635,2/14/79,1/29/11
2583445,Americus Census Designated Place,AMERICUS CENSUS DESIGNATED PLACE,Census,Tippecanoe,157,40.5253967,-86.7475401,3/31/10,4/25/13
430136,Ames,AMES,Populated Place,Montgomery,107,40.033376,-86.8869517,2/14/79,
430138,Amity,AMITY,Populated Place,Johnson,81,39.4261618,-86.0010995,2/14/79,
430143,Amo,AMO,Populated Place,Hendricks,63,39.6881019,-86.6136129,2/14/79,3/20/08
430152,Anderson,ANDERSON,Populated Place,Madison,95,40.1053196,-85.6802541,2/14/79,3/20/08
2514871,Anderson Mobile Home Park,ANDERSON MOBILE HOME PARK,Populated Place,Lake,89,41.5741667,-87.4272222,12/16/08,
430166,Andersonville,ANDERSONVILLE,Populated Place,Delaware,35,40.2186541,-85.4310827,2/14/79,
430167,Andersonville,ANDERSONVILLE,Populated Place,Franklin,47,39.4975488,-85.2888542,2/14/79,
430170,Andrews,ANDREWS,Populated Place,Huntington,69,40.8625448,-85.6016458,2/14/79,5/10/14
430173,Andry,ANDRY,Populated Place,LaPorte,91,41.7178195,-86.7580815,2/14/79,
430179,Angola,ANGOLA,Populated Place,Steuben,151,41.6347726,-84.9994088,2/14/79,3/20/08
430180,Anita,ANITA,Populated Place,Johnson,81,39.4258821,-86.1913786,2/14/79,
430181,Annandale Estates,ANNANDALE ESTATES,Populated Place,Brown,13,39.2178262,-86.2661016,2/14/79,
430182,Annapolis,ANNAPOLIS,Populated Place,Parke,121,39.8525403,-87.2505685,2/14/79,
430184,Anoka,ANOKA,Populated Place,Cass,17,40.721984,-86.2824967,2/14/79,
430186,Ansley Acres,ANSLEY ACRES,Populated Place,Allen,3,41.0783813,-85.2121945,2/14/79,
430191,Anthony,ANTHONY,Populated Place,Delaware,35,40.2778203,-85.4360827,2/14/79,
430196,Anthony Wayne Village,ANTHONY WAYNE VILLAGE,Populated Place,Allen,3,41.0394926,-85.1055253,2/14/79,
430197,Antioch,ANTIOCH,Populated Place,Switzerland,155,38.8595061,-84.8838378,2/14/79,
430198,Antioch,ANTIOCH,Populated Place,Clinton,23,40.2280928,-86.505836,2/14/79,5/10/14
430199,Antioch,ANTIOCH,Populated Place,Jay,75,40.3678229,-84.9421887,2/14/79,
446729,Antioch,ANTIOCH,Populated Place,Greene,55,39.0986542,-87.2375146,10/1/82,
430218,Antioch Grange,ANTIOCH GRANGE,Populated Place,Jefferson,77,38.7372814,-85.4702374,2/14/79,
430219,Antiville,ANTIVILLE,Populated Place,Jay,75,40.4975455,-84.978579,2/14/79,
450634,Apalona,APALONA,Populated Place,Perry,123,38.1545037,-86.6322075,2/14/79,
2515249,Apple Valley Estates,APPLE VALLEY ESTATES,Populated Place,Porter,127,41.2911111,-87.3108333,12/19/08,
452166,Arabia,ARABIA,Populated Place,Parke,121,39.7661501,-87.3219602,10/1/82,
430231,Arba,ARBA,Populated Place,Randolph,135,40.0108807,-84.8669056,2/14/79,5/10/14
2109634,Arborview Mobile Home Park,ARBORVIEW MOBILE HOME PARK,Populated Place,Hendricks,63,39.7797222,-86.3383333,3/8/07,
430234,Arcadia,ARCADIA,Populated Place,Hamilton,57,40.1758704,-86.0216521,2/14/79,5/10/14
430235,Arcana,ARCANA,Populated Place,Grant,53,40.5386532,-85.5033061,2/14/79,
430240,Arcola,ARCOLA,Populated Place,Allen,3,41.1036587,-85.294141,2/14/79,
430239,Arctic Springs,ARCTIC SPRINGS,Populated Place,Clark,19,38.2831257,-85.7113511,2/14/79,
430241,Arda,ARDA,Populated Place,Pike,125,38.5172714,-87.2505682,2/14/79,
